,MONTH,CTY_CODE,CTY_NAME,QTY_1_MO,DISTRICT,DIST_NAME,E_COMMODITY,SUMMARY_LVL,YEAR,day
4,5,1220,CANADA,296,30,"SEATTLE, WA",2709001000,DET,2013,1
5,5,1220,CANADA,176,34,"PEMBINA, ND",2709001000,DET,2013,1
10,6,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
11,6,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
16,7,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
17,7,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
22,8,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
23,8,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
28,9,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
29,9,1220,CANADA,50,34,"PEMBINA, ND",2709001000,DET,2013,1
34,10,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
35,10,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
40,11,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
41,11,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
46,12,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2013,1
47,12,1220,CANADA,0,34,"PEMBINA, ND",2709001000,DET,2013,1
77,1,1220,CANADA,97396,34,"PEMBINA, ND",2709001000,DET,2015,1
81,2,1220,CANADA,39553,34,"PEMBINA, ND",2709001000,DET,2015,1
85,3,1220,CANADA,63293,34,"PEMBINA, ND",2709001000,DET,2015,1
91,4,1220,CANADA,67700,34,"PEMBINA, ND",2709001000,DET,2015,1
98,5,1220,CANADA,145,09,"BUFFALO, NY",2709001000,DET,2015,1
99,5,1220,CANADA,60433,34,"PEMBINA, ND",2709001000,DET,2015,1
100,5,1220,CANADA,918619,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
110,6,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
111,6,1220,CANADA,5840,30,"SEATTLE, WA",2709001000,DET,2015,1
112,6,1220,CANADA,189,33,"GREAT FALLS, MT",2709001000,DET,2015,1
113,6,1220,CANADA,64473,34,"PEMBINA, ND",2709001000,DET,2015,1
114,6,1220,CANADA,491409,38,"DETROIT, MI",2709001000,DET,2015,1
115,6,1220,CANADA,0,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
125,7,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
126,7,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
127,7,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
128,7,1220,CANADA,66824,34,"PEMBINA, ND",2709001000,DET,2015,1
129,7,1220,CANADA,890152,38,"DETROIT, MI",2709001000,DET,2015,1
130,7,1220,CANADA,396540,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
141,8,1220,CANADA,539640,07,"OGDENSBURG, NY",2709001000,DET,2015,1
142,8,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
143,8,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
144,8,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
145,8,1220,CANADA,53541,34,"PEMBINA, ND",2709001000,DET,2015,1
146,8,1220,CANADA,444852,38,"DETROIT, MI",2709001000,DET,2015,1
147,8,1220,CANADA,861640,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
158,9,1220,CANADA,0,07,"OGDENSBURG, NY",2709001000,DET,2015,1
159,9,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
160,9,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
161,9,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
162,9,1220,CANADA,64527,34,"PEMBINA, ND",2709001000,DET,2015,1
163,9,1220,CANADA,0,38,"DETROIT, MI",2709001000,DET,2015,1
164,9,1220,CANADA,0,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
176,10,1220,CANADA,0,07,"OGDENSBURG, NY",2709001000,DET,2015,1
177,10,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
178,10,1220,CANADA,420819,21,"PORT ARTHUR, TX",2709001000,DET,2015,1
179,10,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
180,10,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
181,10,1220,CANADA,50274,34,"PEMBINA, ND",2709001000,DET,2015,1
182,10,1220,CANADA,0,38,"DETROIT, MI",2709001000,DET,2015,1
183,10,1220,CANADA,458426,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
195,11,1220,CANADA,0,07,"OGDENSBURG, NY",2709001000,DET,2015,1
196,11,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
197,11,1220,CANADA,0,21,"PORT ARTHUR, TX",2709001000,DET,2015,1
198,11,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
199,11,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
200,11,1220,CANADA,46427,34,"PEMBINA, ND",2709001000,DET,2015,1
201,11,1220,CANADA,0,38,"DETROIT, MI",2709001000,DET,2015,1
202,11,1220,CANADA,0,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
214,12,1220,CANADA,0,07,"OGDENSBURG, NY",2709001000,DET,2015,1
215,12,1220,CANADA,0,09,"BUFFALO, NY",2709001000,DET,2015,1
216,12,1220,CANADA,0,21,"PORT ARTHUR, TX",2709001000,DET,2015,1
217,12,1220,CANADA,0,30,"SEATTLE, WA",2709001000,DET,2015,1
218,12,1220,CANADA,0,33,"GREAT FALLS, MT",2709001000,DET,2015,1
219,12,1220,CANADA,49938,34,"PEMBINA, ND",2709001000,DET,2015,1
220,12,1220,CANADA,0,38,"DETROIT, MI",2709001000,DET,2015,1
221,12,1220,CANADA,0,53,"HOUSTON-GALVESTON, TX",2709001000,DET,2015,1
225,1,1220,CANADA,50612,34,"PEMBINA, ND",2709001000,DET,2016,1
230,2,1220,CANADA,42829,34,"PEMBINA, ND",2709001000,DET,2016,1
235,3,1220,CANADA,41209,34,"PEMBINA, ND",2709001000,DET,2016,1
240,4,1220,CANADA,38092,34,"PEMBINA, ND",2709001000,DET,2016,1
